REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2018,40,1.41646,1.42221,4919,3896,X,6311,1572,1306,18004,2607,1265916
National,X,2018,41,1.39834,1.47475,5347,4052,X,6253,1679,1331,18662,2644,1265432
National,X,2018,42,1.45963,1.58743,5574,4417,X,6721,1759,1403,19874,2617,1251962
National,X,2018,43,1.62546,1.7229,6259,4609,X,7450,1863,1452,21633,2674,1255617
National,X,2018,44,1.77703,1.83956,6871,4728,X,8166,1861,1457,23083,2659,1254809
National,X,2018,45,1.86159,1.9281,7513,4831,X,8386,1895,1456,24081,2665,1248952
National,X,2018,46,1.98966,2.09575,7851,5070,X,8084,2052,1491,24548,2657,1171322
National,X,2018,47,2.24866,2.41119,8621,5024,X,7218,2155,1708,24726,2611,1025467
National,X,2018,48,2.14589,2.25038,8902,6591,X,8765,2827,2086,29171,2656,1296270
National,X,2018,49,2.26471,2.31587,8823,6013,X,9314,2536,1874,28560,2651,1233232
National,X,2018,50,2.64826,2.75498,10219,6891,X,11383,2895,2013,33401,2638,1212385
National,X,2018,51,3.16982,3.22729,11234,7814,X,12545,3283,2445,37321,2542,1156420
National,X,2018,52,3.98267,4.20132,13563,10354,X,12023,4525,3545,44010,2561,1047527
National,X,2019,1,3.47088,3.64931,11698,11415,X,9597,5241,4278,42229,2610,1157179
National,X,2019,2,3.10502,3.16787,9358,10495,X,10945,4900,3463,39161,2636,1236193
National,X,2019,3,3.31658,3.35911,9559,10028,X,14088,4257,2942,40874,2629,1216810
National,X,2019,4,3.79222,3.90196,10606,11215,X,16717,4465,2859,45862,2637,1175359
